UTC,Open,High,Low,Close,Volume
27.01.2025 00:00:00.000 UTC,2767.278,2767.925,2766.415,2766.525,0.07785
27.01.2025 00:01:00.000 UTC,2766.455,2766.945,2766.145,2766.575,0.06255
27.01.2025 00:02:00.000 UTC,2766.575,2766.965,2766.405,2766.615,0.0369
27.01.2025 00:03:00.000 UTC,2766.465,2766.995,2766.215,2766.298,0.045
27.01.2025 00:04:00.000 UTC,2766.298,2766.795,2765.835,2766.165,0.05163
27.01.2025 00:05:00.000 UTC,2766.098,2767.408,2765.998,2767.055,0.05172
27.01.2025 00:06:00.000 UTC,2767.055,2767.215,2766.595,2767.215,0.01962
27.01.2025 00:07:00.000 UTC,2767.195,2767.955,2766.805,2767.448,0.02988
27.01.2025 00:08:00.000 UTC,2767.595,2767.998,2767.448,2767.998,0.01296
27.01.2025 00:09:00.000 UTC,2767.898,2767.998,2766.698,2766.885,0.02412
27.01.2025 00:10:00.000 UTC,2766.878,2767.395,2766.405,2767.325,0.04668
27.01.2025 00:11:00.000 UTC,2767.325,2767.465,2767.248,2767.465,0.01293
27.01.2025 00:12:00.000 UTC,2767.455,2768.048,2767.348,2767.875,0.01878
27.01.2025 00:13:00.000 UTC,2767.948,2768.405,2767.748,2768.285,0.02859
27.01.2025 00:14:00.000 UTC,2768.285,2768.735,2768.075,2768.285,0.03606
27.01.2025 00:15:00.000 UTC,2768.295,2768.325,2767.248,2767.545,0.05259
27.01.2025 00:16:00.000 UTC,2767.535,2767.848,2767.225,2767.445,0.04752
27.01.2025 00:17:00.000 UTC,2767.425,2767.625,2766.485,2766.695,0.03594
27.01.2025 00:18:00.000 UTC,2766.835,2766.895,2766.605,2766.785,0.0555
27.01.2025 00:19:00.000 UTC,2766.775,2767.265,2766.698,2766.905,0.05655
27.01.2025 00:20:00.000 UTC,2766.915,2767.555,2766.575,2766.935,0.06225
27.01.2025 00:21:00.000 UTC,2766.935,2767.145,2766.685,2766.745,0.04455
27.01.2025 00:22:00.000 UTC,2766.775,2767.075,2766.445,2767.005,0.0567
27.01.2025 00:23:00.000 UTC,2767.035,2767.665,2766.825,2767.595,0.05712
27.01.2025 00:24:00.000 UTC,2767.595,2767.795,2767.015,2767.015,0.0417
27.01.2025 00:25:00.000 UTC,2767.035,2767.795,2766.745,2767.445,0.04302
27.01.2025 00:26:00.000 UTC,2767.445,2767.915,2767.435,2767.855,0.02589
27.01.2025 00:27:00.000 UTC,2767.855,2767.965,2767.465,2767.865,0.0237
27.01.2025 00:28:00.000 UTC,2767.905,2768.005,2767.215,2767.485,0.02409
27.01.2025 00:29:00.000 UTC,2766.905,2767.445,2766.905,2767.055,0.0177
27.01.2025 00:30:00.000 UTC,2767.055,2767.545,2766.675,2767.235,0.03996
27.01.2025 00:31:00.000 UTC,2767.315,2768.145,2767.115,2767.955,0.06705
27.01.2025 00:32:00.000 UTC,2768.125,2768.525,2767.748,2768.205,0.04242
27.01.2025 00:33:00.000 UTC,2768.165,2768.505,2768.075,2768.145,0.03375
27.01.2025 00:34:00.000 UTC,2768.185,2768.245,2767.825,2767.825,0.02295
27.01.2025 00:35:00.000 UTC,2767.825,2768.085,2767.455,2768.005,0.04455
27.01.2025 00:36:00.000 UTC,2768.005,2768.185,2767.755,2767.765,0.0207
27.01.2025 00:37:00.000 UTC,2767.765,2767.865,2767.355,2767.795,0.03681
27.01.2025 00:38:00.000 UTC,2767.765,2768.115,2767.115,2767.805,0.04107
27.01.2025 00:39:00.000 UTC,2767.885,2768.115,2767.315,2767.715,0.03894
27.01.2025 00:40:00.000 UTC,2767.715,2767.735,2767.015,2767.675,0.04995
